Proveedor,Plan,Velocidad,Precio,Categoría,Detalles,Precio_Num
Xtrim,Plan BENEFICIO ADULTO MAYOR,20 Mbps,$11.50,Hogar,"Aplica para HFC y GPON. WiFi. Incluye impuestos. Precio para todas las formas de pago. Precio regular del plan: $20,00.",11.5
CNT,N/A,No especificada (Ver Web),$12.45,Otros Planes,,12.45
CNT,N/A,500 Mbps,$12.7,Fibra GO,,12.7
CNT,N/A,400 Mbps,$12.7,Plan Conectados,,12.7
Xtrim,Plan Advance,400 Mbps,$13.10,Hogar,"Incluye plataformas: Zapping. Mejor resolución, 100% Cobertura, Juego en línea. Precio promocional con Tarjeta de Crédito (otras formas de pago: $16,67).",13.1
CNT,N/A,700 Mbps,$15.25,Fibra GO,,15.25
Xtrim,Plan Elite,800 Mbps,$15.90,Hogar,"Incluye plataformas: Zapping. Mejor resolución, 100% Cobertura, Juego en línea. Precio promocional con Tarjeta de Crédito (otras formas de pago: $20,23).",15.9
Xtrim,Plan Essential 2,200 Mbps,$15.90,Hogar,"Incluye plataformas: Zapping. Mejor resolución, 100% Cobertura, Juego en línea. Precio promocional con Tarjeta de Crédito (otras formas de pago: $20,23).",15.9
Gonet,GoEssencial,600 Mbps,$16,Hogar,,16.0
CNT,N/A,No especificada (Ver Web),$16.00,Servidor Público,,16.0
CNT,N/A,800 Mbps,$18,Fibra GO,,18.0
CNT,N/A,No especificada (Ver Web),$18.39,Otros Planes,,18.39
CNT,N/A,No especificada (Ver Web),$18.39,Servidor Público,,18.39
Xtrim,Plan BONO DESARROLLO HUMANO,20 Mbps,$18.40,Hogar,"Aplica para HFC y GPON. WiFi. Precio final incluido impuestos ($16,00 + impuestos). Precio para todas las formas de pago.",18.4
CNT,N/A,600 Mbps,$18.75,Plan Conectados,,18.75
Celerity,650 Mbps,650 Mbps,$18.90,Hogar,+IVA. 30% de descuento por 6 meses. CLUB CELERITY. OPCIONAL Booster 2 zonas wifi (0). Celerity Play SIN COSTO por 3 meses. Precio regular $27.00 + iva al finalizar la promoción.,18.9
Gonet,GoPlus,750 Mbps,$19,Hogar,,19.0
Xtrim,Plan Essential,200 Mbps,$19.13,Hogar,"Mejor resolución, 100% Cobertura, Juego en línea. Precio promocional con Tarjeta de Crédito (otras formas de pago: $19,13).",19.13
Celerity,900 Mbps,900 Mbps,$19.60,Hogar,+IVA. 30% de descuento por 6 meses. CLUB CELERITY. OPCIONAL Booster 2 zonas wifi (0). Celerity Play SIN COSTO por 6 meses. Precio regular $28.00 + iva al finalizar la promoción.,19.6
Xtrim,Plan Supreme,1000 Mbps,$20.00,Hogar,"Incluye plataformas: Zapping. Mejor resolución, 100% Cobertura, Juego en línea. Precio promocional con Tarjeta de Crédito (otras formas de pago: $25,46).",20.0
Netlife,750 Mbps,750 Mbps,$20.36 incl IVA (Promocional),Hogar,,20.36
Celerity,750 Mbps Gamer,750 Mbps,$20.99,Hogar,+IVA. 30% de descuento por 6 meses. CLUB CELERITY. Net GAMER. Punto de red. Conexión directa RIOT. NoPing 3 meses. Precio regular $29.99 + iva al finalizar la promoción.,20.99
CNT,N/A,700 Mbps,$21.5,Plan Conectados,,21.5
Claro,Internet + Telefonía,300 Mbps,$21.85,Hogar,"Precio Inc. Impuesto. Incluye telefonía, Claro video. Obtén hasta el 15% de descuento.",21.85
Celerity,350 Mbps,350 Mbps,$22.00,Hogar,+IVA. CLUB CELERITY.,22.0
Netlife,950 Mbps,950 Mbps,$22.77 incl IVA (Promocional),Hogar,,22.77
Gonet,GoPrime,900 Mbps,$23,Hogar,,23.0
Claro,Internet + Telefonía,550 Mbps,$23.00,Hogar,"Precio Inc. Impuesto. Incluye telefonía, elige entre HBO Max o Paramount+. Obtén hasta el 15% de descuento.",23.0
Gonet,Gomax,1000 Mbps,$24,Hogar,,24.0
CNT,N/A,50 Mbps,$24.99,4 Play (Combos),,24.99
Gonet,PLAN GoColorado,700 Mbps,$25,Hogar,,25.0
Puntonet,N/A,700 Mbps,$25.00,Hogar,,25.0
Netlife,1000 Mbps,1000 Mbps,$25.63 incl IVA (Promocional),Hogar,,25.63
Celerity,1000 Mbps,1000 Mbps,$26.60,Hogar,+IVA. 30% de descuento por 6 meses. CLUB CELERITY. INCLUYE Booster 2 zonas wifi. Celerity Play SIN COSTO por 9 meses. Precio regular $38.00 + iva al finalizar la promoción.,26.6
CNT,N/A,No especificada (Ver Web),$27.11,Otros Planes,,27.11
CNT,N/A,No especificada (Ver Web),$27.11,Servidor Público,,27.11
Celerity,1000 Mbps Gamer,1000 Mbps,$27.99,Hogar,+IVA. 30% de descuento por 6 meses. CLUB CELERITY. Net GAMER. Punto de red. Conexión directa RIOT. NoPing 12 meses. Precio regular $39.99 + iva al finalizar la promoción.,27.99
Puntonet,N/A,850 Mbps,$28.00,Hogar,,28.0
Claro,Internet + Telefonía,750 Mbps,$28.75,Hogar,"Precio Inc. Impuesto. Incluye telefonía, elige entre HBO Max o Paramount+. Obtén hasta el 15% de descuento.",28.75
CNT,N/A,100 Mbps,$29.99,4 Play (Combos),,29.99
