Proveedor,Categoría,Plan Detectado,Velocidad,Precio,Método
CNT,4 Play (Combos),$24.99 + imp. $28.74* incl. imp.,50 MBPS,$24.99,HTML Article
CNT,4 Play (Combos),$29.99 + imp. $34.49* incl. imp.,100 MBPS,$29.99,HTML Article
CNT,4 Play (Combos),$38.5 + imp. $44.28* incl. imp.,150 MBPS,$38.5,HTML Article
CNT,4 Play (Combos),$46.5 + imp. $53.48* incl. imp.,300 MBPS,$46.5,HTML Article
CNT,Fibra GO,$12.7 + imp. $14.61* incl. imp.,500 mbps,$12.7,HTML Article
CNT,Fibra GO,$15.25 + imp. $17.54* incl. imp.,700 mbps,$15.25,HTML Article
CNT,Fibra GO,$18 + imp. $20.7* incl. imp.,800 mbps,$18,HTML Article
CNT,Otros Planes,"En CNT tenemos internet para todo el Ecuador desde $12,45 +IMP/mes",No especificada (Ver Web),$12.45,Texto Rescate
CNT,Otros Planes,$18.39,No especificada (Ver Web),$18.39,Texto Rescate
CNT,Otros Planes,$27.11,No especificada (Ver Web),$27.11,Texto Rescate
CNT,Plan Conectados,$12.7 + imp. $14.61* incl. imp.,400 mbps,$12.7,HTML Article
CNT,Plan Conectados,$18.75 + imp. $21.56* incl. imp.,600 mbps,$18.75,HTML Article
CNT,Plan Conectados,$21.5 + imp. $24.73* incl. imp.,700 mbps,$21.5,HTML Article
CNT,Servidor Público,$16.00 + imp*,No especificada (Ver Web),$16.00,Texto Rescate
CNT,Servidor Público,$18.39,No especificada (Ver Web),$18.39,Texto Rescate
CNT,Servidor Público,$27.11,No especificada (Ver Web),$27.11,Texto Rescate
